file,rows,final_step,final_sim_time,final_reward,final_total_waiting,final_vehicle_count,final_avg_travel_time,final_eval_wait_only_reward,final_avg_waiting,final_final_waiting,final_decision_step,final_time,final_action,final_phase_id,final_state_north_bucket,final_state_east_bucket,final_state_south_bucket,final_state_west_bucket,final_episode,final_total_reward,final_mean_reward_per_decision,final_final_avg_travel_time,final_epsilon,final_state_phase_bucket,final_state_north_count,final_state_east_count,final_state_south_count,final_state_west_count,final_state_phase,final_num_decisions,final_run,final_mean_total_reward,final_mean_final_waiting,final_mean_avg_waiting,final_mean_avg_travel_time,final_baseline_mean_total_reward,final_baseline_mean_final_waiting,final_baseline_mean_avg_waiting,final_baseline_mean_avg_travel_time
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_bucketed_with_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,11.15972222222222,21.0,,,,,,,,,2000.0,-2145.1999999999994,-14.89722222222222,86.36741214057508,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_default_reward/q_learning_trace.csv,144,,,-40.0,40.0,63.0,93.3035143769968,,,,143.0,720.0,0.0,1.0,,,,,,,,,,,0.0,10.0,10.0,10.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_default_reward/q_learning_training.csv,2000,,,,,,,,14.88888888888889,41.0,,,,,,,,,2000.0,-2144.0,-14.88888888888889,94.07987220447284,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_delta_wait/q_learning_trace.csv,144,,,0.0,5.0,28.0,66.85303514376997,,,,143.0,720.0,7.0,8.0,,,,,,,,,,,0.0,3.0,0.0,2.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_delta_wait/q_learning_training.csv,2000,,,,,,,,3.4791666666666665,8.0,,,,,,,,,2000.0,-8.0,-0.0555555555555555,67.36421725239616,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_wait_small_vehicle/q_learning_trace.csv,144,,,-31.95,29.0,59.0,94.0,,,,143.0,720.0,7.0,8.0,,,,,,,,,,,5.0,10.0,2.0,7.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_wait_small_vehicle/q_learning_training.csv,2000,,,,,,,,19.375,29.0,,,,,,,,,2000.0,-3127.649999999999,-21.719791666666666,108.185303514377,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_wait_vehicle/q_learning_trace.csv,144,,,-38.7,33.0,57.0,95.3929712460064,,,,143.0,720.0,7.0,8.0,,,,,,,,,,,5.0,10.0,3.0,10.0,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_no_phase_wait_vehicle/q_learning_training.csv,2000,,,,,,,,16.333333333333332,40.0,,,,,,,,,2000.0,-2955.7000000000003,-20.525694444444447,96.75079872204472,0.05,,,,,,,,,,,,,,,,
results/hangzhou_1x1_bc-tyc_18041607_1h/q_learning_capped_with_phase_default_reward/q_learning_trace.csv,144,,,-30.0,30.0,75.0,130.33865814696486,,,,143.0,720.0,0.0,1.0,,,,,,,,,,,0.0,10.0,8.0,7.0,0.0,,,,,,,,,,
