decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
81,410.0,4,5,10,9,0,0,4,-23.55,21.0,51,100.48148148148148
82,415.0,0,1,9,9,0,0,0,-20.55,18.0,51,100.8170731707317
83,420.0,2,3,9,10,0,1,2,-23.6,21.0,52,101.16265060240964
84,425.0,5,6,9,10,0,0,5,-25.6,23.0,52,101.51190476190476
85,430.0,6,7,10,10,0,0,6,-24.55,22.0,51,103.0297619047619
86,435.0,5,6,10,10,0,0,5,-28.4,26.0,48,103.87573964497041
87,440.0,3,4,10,10,0,1,3,-32.5,30.0,50,102.34482758620689
88,445.0,5,6,10,10,0,0,5,-32.55,30.0,51,102.01694915254237
89,450.0,3,4,10,10,0,0,3,-34.7,32.0,54,101.77222222222223
90,455.0,3,4,10,10,0,1,3,-37.75,35.0,55,101.5792349726776
91,460.0,5,6,10,10,0,0,5,-36.6,34.0,52,103.02185792349727
92,465.0,3,4,10,10,0,0,3,-37.8,35.0,56,102.2620320855615
93,470.0,3,4,10,10,3,0,3,-42.8,40.0,56,103.75935828877006
94,475.0,2,3,10,10,5,1,2,-45.85,43.0,57,103.05235602094241
95,480.0,2,3,10,10,6,2,2,-48.05,45.0,61,102.49230769230769
96,485.0,1,2,10,10,2,2,1,-41.15,38.0,63,102.53535353535354
97,490.0,5,6,10,10,2,1,5,-39.35,36.0,67,102.16831683168317
98,495.0,5,6,10,10,5,0,5,-44.4,41.0,68,102.33170731707317
99,500.0,5,6,10,10,6,0,5,-45.6,42.0,72,101.57142857142857
100,505.0,7,8,10,10,4,0,7,-46.65,43.0,73,101.86384976525821
101,510.0,0,1,10,10,5,0,0,-46.8,43.0,76,102.22222222222223
102,515.0,3,4,10,10,5,0,3,-49.7,46.0,74,103.96296296296296
103,520.0,3,4,10,10,9,0,3,-57.7,54.0,74,105.19354838709677
104,525.0,0,1,10,10,10,0,0,-57.6,54.0,72,106.86175115207374
105,530.0,3,4,10,10,10,0,3,-56.6,53.0,72,108.52073732718894
106,535.0,0,1,10,10,10,0,0,-52.45,49.0,69,110.12903225806451
107,540.0,3,4,9,10,10,0,3,-52.45,49.0,69,110.70776255707763
108,545.0,2,3,10,10,10,0,2,-54.45,51.0,69,109.82142857142857
109,550.0,2,3,10,10,10,0,2,-54.65,51.0,73,109.0524017467249
110,555.0,2,3,10,10,10,0,2,-57.65,54.0,73,110.21304347826087
111,560.0,2,3,10,10,10,0,2,-61.85,58.0,77,109.52765957446809
112,565.0,2,3,10,10,10,0,2,-64.05,60.0,81,108.90833333333333
113,570.0,2,3,10,10,10,2,2,-69.15,65.0,83,108.4
114,575.0,2,3,10,10,10,4,2,-75.4,71.0,88,108.004
115,580.0,0,1,10,10,10,2,0,-73.6,69.0,92,108.56916996047431
116,585.0,0,1,10,10,10,1,0,-70.8,66.0,96,109.19140625
117,590.0,0,1,10,10,10,0,0,-69.95,65.0,99,110.24806201550388
118,595.0,3,4,10,10,10,2,3,-72.0,67.0,100,111.32692307692308
119,600.0,0,1,10,10,10,2,0,-67.15,62.0,103,111.60606060606061
120,605.0,0,1,6,10,10,1,0,-62.15,57.0,103,112.33333333333333
121,610.0,3,4,3,10,10,1,3,-59.05,54.0,101,114.30337078651685
122,615.0,4,5,2,10,10,6,4,-62.9,58.0,98,115.77985074626865
123,620.0,2,3,4,10,10,8,2,-67.85,63.0,97,115.52380952380952
124,625.0,4,5,3,10,10,9,4,-68.9,64.0,98,116.55272727272727
125,630.0,0,1,2,10,10,6,0,-66.8,62.0,96,116.73118279569893
126,635.0,6,7,3,10,10,4,6,-61.65,57.0,93,118.13928571428572
127,640.0,6,7,6,10,10,7,6,-63.6,59.0,92,119.925
128,645.0,2,3,9,10,10,7,2,-65.5,61.0,90,120.81914893617021
129,650.0,0,1,8,10,10,4,0,-62.6,58.0,92,120.87762237762237
130,655.0,0,1,7,10,10,1,0,-58.5,54.0,90,122.63636363636364
131,660.0,0,1,2,10,10,0,0,-52.4,48.0,88,123.47916666666667
132,665.0,7,8,2,10,10,2,7,-53.3,49.0,86,124.28965517241379
133,670.0,4,5,2,10,10,3,4,-55.2,51.0,84,125.50515463917526
134,675.0,3,4,6,10,10,3,3,-59.3,55.0,86,125.02702702702703
135,680.0,3,4,7,10,10,3,3,-60.15,56.0,83,125.82885906040268
136,685.0,2,3,8,10,10,3,2,-64.1,60.0,82,124.16013071895425
137,690.0,2,3,8,10,10,3,2,-68.15,64.0,83,124.59223300970874
138,695.0,2,3,8,10,10,3,2,-74.2,70.0,84,126.2168284789644
139,700.0,2,3,8,10,10,3,2,-76.15,72.0,83,127.8252427184466
140,705.0,2,3,8,10,10,4,2,-80.05,76.0,81,129.40129449838187
141,710.0,4,5,3,10,10,4,4,-75.0,71.0,80,130.9546925566343
142,715.0,4,5,0,10,10,4,4,-73.15,69.0,83,131.26602564102564
143,720.0,1,2,1,10,10,5,1,-69.2,65.0,84,132.44089456869008
