decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,state_phase,reward,total_waiting,vehicle_count,avg_travel_time
71,360.0,1,2,6,10,10,1,1,-56.0,56.0,97,96.95338983050847
72,365.0,1,2,7,10,10,1,1,-53.0,53.0,98,98.67510548523207
73,370.0,5,6,7,10,10,0,5,-50.0,50.0,97,99.525
74,375.0,4,5,3,10,10,1,4,-49.0,49.0,101,98.3991935483871
75,380.0,4,5,0,10,10,4,4,-56.0,56.0,106,97.4609375
76,385.0,5,6,1,10,10,0,5,-56.0,56.0,105,98.5057915057915
77,390.0,3,4,4,10,10,2,3,-59.0,59.0,104,98.76515151515152
78,395.0,2,3,5,10,10,5,2,-63.0,63.0,102,100.85227272727273
79,400.0,4,5,3,10,10,7,4,-65.0,65.0,101,101.77902621722846
80,405.0,4,5,1,10,10,7,4,-64.0,64.0,99,103.8314606741573
81,410.0,1,2,1,10,10,7,1,-67.0,67.0,99,105.46641791044776
82,415.0,7,8,6,10,10,7,7,-72.0,72.0,99,105.14963503649635
83,420.0,1,2,10,10,10,7,1,-72.0,72.0,103,104.92142857142858
84,425.0,0,1,7,10,10,5,0,-66.0,66.0,104,106.61565836298932
85,430.0,5,6,6,10,10,1,5,-62.0,62.0,105,106.83566433566433
86,435.0,5,6,8,10,10,0,5,-61.0,61.0,106,107.45517241379311
87,440.0,4,5,4,10,10,2,4,-60.0,60.0,103,108.42662116040955
88,445.0,5,6,1,10,10,0,5,-55.0,55.0,103,109.05050505050505
89,450.0,3,4,6,10,10,2,3,-60.0,60.0,103,107.8921568627451
90,455.0,0,1,4,10,10,0,0,-58.0,58.0,104,108.26045016077171
91,460.0,6,7,3,10,10,4,6,-62.0,62.0,108,108.30914826498423
92,465.0,4,5,2,10,10,4,4,-70.0,70.0,109,109.75235109717869
93,470.0,4,5,0,10,10,4,4,-75.0,75.0,109,110.16666666666667
94,475.0,5,6,1,10,10,0,5,-75.0,75.0,111,109.65361445783132
95,480.0,3,4,5,10,10,0,3,-77.0,77.0,109,111.46546546546547
96,485.0,1,2,8,10,10,0,1,-74.0,74.0,106,112.25519287833828
97,490.0,7,8,9,10,10,0,7,-72.0,72.0,104,113.05278592375366
98,495.0,7,8,9,10,10,0,7,-69.0,69.0,102,114.50437317784257
99,500.0,7,8,10,10,10,1,7,-65.0,65.0,102,115.30547550432277
100,505.0,4,5,7,10,10,1,4,-64.0,64.0,100,115.75852272727273
101,510.0,3,4,6,10,10,1,3,-61.0,61.0,99,115.91620111731844
102,515.0,6,7,7,10,10,1,6,-56.0,56.0,97,117.66852367688023
103,520.0,6,7,9,10,10,1,6,-53.0,53.0,96,118.72375690607734
104,525.0,4,5,5,10,10,1,4,-46.0,46.0,96,120.09065934065934
105,530.0,7,8,2,10,10,1,7,-45.0,45.0,98,120.8070652173913
106,535.0,3,4,6,10,10,1,3,-48.0,48.0,101,121.82749326145553
107,540.0,6,7,9,10,10,1,6,-50.0,50.0,100,123.171581769437
108,545.0,4,5,6,10,10,1,4,-48.0,48.0,102,123.18469656992085
109,550.0,2,3,7,10,10,3,2,-57.0,57.0,103,124.20418848167539
110,555.0,3,4,9,10,10,4,3,-65.0,65.0,108,124.90155440414507
111,560.0,0,1,7,10,10,0,0,-64.0,64.0,109,124.99489795918367
112,565.0,7,8,6,10,10,2,7,-65.0,65.0,108,126.3527918781726
113,570.0,6,7,10,10,10,3,6,-70.0,70.0,107,127.69949494949495
114,575.0,1,2,10,10,10,5,1,-68.0,68.0,105,129.66414141414143
115,580.0,4,5,10,10,10,6,4,-68.0,68.0,107,131.29974811083125
116,585.0,0,1,10,10,10,2,0,-67.0,67.0,107,131.95511221945137
117,590.0,6,7,9,10,10,2,6,-63.0,63.0,104,132.91336633663366
118,595.0,7,8,9,10,10,4,7,-61.0,61.0,104,134.19458128078819
119,600.0,4,5,7,10,10,4,4,-56.0,56.0,104,135.79115479115478
120,605.0,7,8,10,10,10,4,7,-55.0,55.0,102,137.0244498777506
121,610.0,6,7,10,10,10,4,6,-45.0,45.0,101,138.2530413625304
122,615.0,1,2,10,10,10,4,1,-48.0,48.0,101,139.4455205811138
123,620.0,3,4,10,10,10,6,3,-55.0,55.0,102,140.6168674698795
124,625.0,0,1,10,10,10,3,0,-51.0,51.0,105,141.1073985680191
125,630.0,6,7,8,10,10,2,6,-49.0,49.0,104,141.29716981132074
126,635.0,4,5,6,10,10,6,4,-50.0,50.0,102,142.8164705882353
127,640.0,4,5,3,10,10,6,4,-54.0,54.0,102,143.96487119437938
128,645.0,7,8,3,10,10,6,7,-53.0,53.0,98,145.75878220140515
129,650.0,0,1,3,10,10,3,0,-51.0,51.0,103,144.53669724770643
130,655.0,5,6,5,10,10,0,5,-56.0,56.0,103,144.39592760180994
131,660.0,0,1,4,10,10,0,0,-62.0,62.0,105,145.5810810810811
132,665.0,6,7,5,10,10,1,6,-68.0,68.0,105,145.78173719376392
133,670.0,0,1,4,10,10,0,0,-66.0,66.0,103,146.63716814159292
134,675.0,6,7,4,10,10,0,6,-63.0,63.0,101,148.14128035320087
135,680.0,1,2,9,10,10,1,1,-65.0,65.0,102,148.67177242888403
136,685.0,0,1,9,10,10,0,0,-61.0,61.0,100,150.47264770240702
137,690.0,4,5,5,10,10,0,4,-60.0,60.0,98,152.23413566739606
138,695.0,3,4,4,10,10,0,3,-62.0,62.0,98,153.9781181619256
139,700.0,0,1,1,10,10,0,0,-57.0,57.0,100,154.04545454545453
140,705.0,3,4,3,10,10,0,3,-60.0,60.0,100,154.7978494623656
141,710.0,1,2,6,10,10,2,1,-56.0,56.0,101,155.21748400852877
142,715.0,4,5,4,10,10,2,4,-54.0,54.0,103,155.0063157894737
143,720.0,5,6,3,10,10,0,5,-52.0,52.0,103,154.8170478170478
