episode,total_reward,final_waiting,final_avg_travel_time,epsilon
1,-47.0,47.0,108.04472843450479,0.997
2,-31.0,31.0,118.5814696485623,0.994009
3,-39.0,39.0,131.34504792332268,0.991026973
4,-47.0,47.0,138.41214057507986,0.988053892081
5,-38.0,38.0,112.33226837060703,0.985089730404757
6,-37.0,37.0,130.7252396166134,0.9821344612135428
7,-52.0,52.0,134.7699680511182,0.9791880578299021
8,-56.0,56.0,123.5814696485623,0.9762504936564125
9,-50.0,50.0,137.12460063897763,0.9733217421754432
10,-39.0,39.0,99.99361022364218,0.9704017769489168
11,-45.0,45.0,128.94249201277955,0.9674905716180701
12,-41.0,41.0,130.34504792332268,0.9645880999032158
13,-48.0,48.0,124.86581469648563,0.9616943356035061
14,-35.0,35.0,117.21086261980831,0.9588092525966956
15,-39.0,39.0,114.54632587859425,0.9559328248389055
16,-40.0,40.0,125.42492012779553,0.9530650263643888
17,-41.0,41.0,123.33865814696486,0.9502058312852957
18,-43.0,43.0,123.38019169329074,0.9473552137914398
19,-50.0,50.0,110.23961661341853,0.9445131481500655
20,-49.0,49.0,112.30990415335464,0.9416796087056153
21,-46.0,46.0,113.12140575079871,0.9388545698794984
22,-48.0,48.0,129.0990415335463,0.93603800616986
23,-48.0,48.0,111.70926517571885,0.9332298921513504
24,-25.0,25.0,119.01916932907348,0.9304302024748964
25,-39.0,39.0,125.98722044728434,0.9276389118674717
26,-37.0,37.0,110.77316293929712,0.9248559951318693
27,-39.0,39.0,116.32907348242811,0.9220814271464737
28,-59.0,59.0,108.75399361022365,0.9193151828650342
29,-34.0,34.0,97.77316293929712,0.9165572373164391
30,-26.0,26.0,112.64217252396166,0.9138075656044898
31,-56.0,56.0,114.10543130990415,0.9110661429076764
32,-38.0,38.0,109.9520766773163,0.9083329444789534
33,-35.0,35.0,109.58466453674122,0.9056079456455165
34,-27.0,27.0,101.92012779552715,0.90289112180858
35,-31.0,31.0,119.00958466453675,0.9001824484431542
36,-26.0,26.0,107.68690095846645,0.8974819010978248
37,-35.0,35.0,109.19488817891374,0.8947894553945313
38,-55.0,55.0,126.0223642172524,0.8921050870283477
39,-36.0,36.0,121.8817891373802,0.8894287717672626
40,-36.0,36.0,107.21086261980831,0.8867604854519608
41,-54.0,54.0,114.19808306709265,0.884100203995605
42,-38.0,38.0,109.63258785942492,0.8814479033836181
43,-32.0,32.0,114.59105431309904,0.8788035596734672
44,-33.0,33.0,118.94249201277955,0.8761671489944468
45,-41.0,41.0,102.56230031948881,0.8735386475474635
46,-52.0,52.0,100.91054313099042,0.8709180316048211
47,-31.0,31.0,128.92012779552715,0.8683052775100066
48,-33.0,33.0,103.3929712460064,0.8657003616774767
49,-38.0,38.0,114.75079872204473,0.8631032605924442
50,-27.0,27.0,103.56549520766774,0.860513950810667
51,-49.0,49.0,108.73801916932908,0.857932408958235
52,-40.0,40.0,93.87220447284345,0.8553586117313603
53,-18.0,18.0,103.05431309904154,0.8527925358961662
54,-29.0,29.0,105.78913738019169,0.8502341582884777
55,-39.0,39.0,103.17571884984025,0.8476834558136123
56,-40.0,40.0,102.00958466453675,0.8451404054461714
57,-50.0,50.0,128.02875399361022,0.8426049842298329
58,-28.0,28.0,102.62300319488818,0.8400771692771434
59,-16.0,16.0,86.53035143769968,0.837556937769312
60,-50.0,50.0,102.22364217252397,0.835044266956004
61,-35.0,35.0,96.80830670926518,0.8325391341551359
62,-30.0,30.0,100.84664536741214,0.8300415167526705
63,-50.0,50.0,120.8370607028754,0.8275513922024125
64,-49.0,49.0,120.93929712460064,0.8250687380258053
65,-41.0,41.0,107.34824281150159,0.8225935318117279
66,-28.0,28.0,118.08626198083067,0.8201257512162927
67,-32.0,32.0,129.40575079872204,0.8176653739626438
68,-40.0,40.0,99.18849840255591,0.8152123778407558
69,-30.0,30.0,94.67092651757189,0.8127667407072335
70,-29.0,29.0,102.19488817891374,0.8103284404851119
71,-32.0,32.0,88.49840255591054,0.8078974551636565
72,-26.0,26.0,89.15335463258786,0.8054737627981655
73,-48.0,48.0,96.65814696485623,0.803057341509771
74,-38.0,38.0,95.77316293929712,0.8006481694852418
75,-31.0,31.0,98.59105431309904,0.798246224976786
76,-23.0,23.0,87.35143769968052,0.7958514863018556
77,-29.0,29.0,88.38338658146965,0.79346393184295
78,-26.0,26.0,88.00319488817891,0.7910835400474212
79,-51.0,51.0,96.29712460063898,0.7887102894272789
80,-25.0,25.0,93.28115015974441,0.7863441585589971
81,-26.0,26.0,87.78274760383387,0.78398512608332
82,-24.0,24.0,97.26198083067092,0.7816331707050701
