dataset,method,total_reward,final_waiting,final_avg_travel_time
hangzhou_1x1_bc-tyc_18041607_1h,q_learning_bucketed_no_phase_delta_wait,-21.0,21.0,76.8626198083067
hangzhou_1x1_bc-tyc_18041608_1h,q_learning_bucketed_no_phase_delta_wait,-26.0,26.0,119.64241164241164
hangzhou_1x1_bc-tyc_18041610_1h,q_learning_bucketed_no_phase_delta_wait,-14.0,14.0,85.37592137592138
