decision_step,time,action,phase_id,state_north_count,state_east_count,state_south_count,state_west_count,reward,total_waiting,vehicle_count,avg_travel_time
85,430.0,1,2,8,10,10,2,-54.0,54.0,97,105.29361702127659
86,435.0,6,7,10,10,10,2,-53.0,53.0,95,106.98728813559322
87,440.0,4,5,10,10,10,2,-50.0,50.0,93,109.09322033898304
88,445.0,4,5,10,10,10,2,-52.0,52.0,91,111.15677966101696
89,450.0,4,5,7,10,10,2,-49.0,49.0,90,111.76150627615063
90,455.0,7,8,5,10,10,2,-44.0,44.0,88,112.33884297520662
91,460.0,1,2,5,10,10,2,-38.0,38.0,87,111.11646586345381
92,465.0,1,2,8,10,7,2,-34.0,34.0,88,111.28853754940711
93,470.0,2,3,10,10,5,2,-35.0,35.0,90,111.03100775193798
94,475.0,1,2,10,10,1,3,-32.0,32.0,91,112.54054054054055
95,480.0,6,7,10,10,3,4,-35.0,35.0,96,112.3409090909091
96,485.0,4,5,10,10,6,6,-39.0,39.0,95,113.38345864661655
97,490.0,4,5,10,10,10,8,-47.0,47.0,94,114.812734082397
98,495.0,4,5,10,10,10,10,-48.0,48.0,91,116.59176029962546
99,500.0,0,1,10,10,10,8,-45.0,45.0,91,117.92164179104478
100,505.0,4,5,8,10,10,7,-43.0,43.0,91,117.4908424908425
101,510.0,1,2,8,10,7,8,-41.0,41.0,91,117.93478260869566
102,515.0,0,1,5,10,5,8,-39.0,39.0,95,118.0
103,520.0,1,2,6,10,3,7,-37.0,37.0,96,117.2867132867133
104,525.0,4,5,4,10,5,9,-42.0,42.0,101,117.4448275862069
105,530.0,5,6,8,10,8,5,-49.0,49.0,100,118.37671232876713
106,535.0,6,7,10,10,10,3,-52.0,52.0,97,120.06849315068493
107,540.0,7,8,10,10,10,6,-56.0,56.0,97,120.13513513513513
108,545.0,0,1,10,10,9,4,-51.0,51.0,97,120.98993288590604
109,550.0,6,7,10,10,10,1,-49.0,49.0,100,119.49346405228758
110,555.0,1,2,10,10,8,6,-48.0,48.0,102,120.03559870550161
111,560.0,7,8,10,10,5,8,-45.0,45.0,100,120.18849840255591
112,565.0,0,1,10,10,6,3,-43.0,43.0,103,120.34069400630915
113,570.0,4,5,10,10,8,2,-44.0,44.0,100,121.62893081761007
114,575.0,2,3,10,10,10,6,-53.0,53.0,101,121.76086956521739
115,580.0,0,1,9,10,10,4,-53.0,53.0,101,122.64814814814815
116,585.0,3,4,7,10,10,3,-52.0,52.0,100,121.68882175226587
117,590.0,2,3,8,10,10,5,-61.0,61.0,98,122.94277108433735
118,595.0,4,5,8,10,10,5,-70.0,70.0,96,123.7994011976048
119,600.0,4,5,6,10,10,6,-75.0,75.0,98,124.28486646884274
120,605.0,4,5,5,10,10,6,-75.0,75.0,98,125.87240356083086
121,610.0,1,2,3,10,10,6,-67.0,67.0,94,127.41839762611276
122,615.0,1,2,5,10,10,6,-62.0,62.0,92,128.92581602373886
123,620.0,1,2,8,10,10,6,-57.0,57.0,92,130.02662721893492
124,625.0,5,6,10,10,10,2,-54.0,54.0,91,130.0
125,630.0,4,5,8,10,10,1,-49.0,49.0,92,130.37391304347827
126,635.0,4,5,4,10,10,4,-46.0,46.0,95,130.3810888252149
127,640.0,3,4,1,10,10,4,-40.0,40.0,96,128.97759103641457
128,645.0,0,1,1,10,10,0,-38.0,38.0,97,129.06371191135733
129,650.0,1,2,2,10,10,2,-39.0,39.0,96,129.51098901098902
130,655.0,7,8,6,10,10,6,-44.0,44.0,98,129.6195652173913
131,660.0,4,5,4,10,10,9,-50.0,50.0,99,131.1141304347826
132,665.0,3,4,7,10,10,10,-59.0,59.0,100,131.18548387096774
133,670.0,7,8,10,10,6,10,-63.0,63.0,101,131.26063829787233
134,675.0,0,1,10,10,8,10,-64.0,64.0,103,130.67539267015707
135,680.0,0,1,10,10,10,7,-61.0,61.0,103,131.47916666666666
136,685.0,1,2,10,10,7,6,-56.0,56.0,101,131.57731958762886
137,690.0,1,2,10,10,7,7,-55.0,55.0,102,132.37692307692308
138,695.0,4,5,10,10,6,10,-54.0,54.0,105,132.85750636132315
139,700.0,0,1,7,10,6,10,-54.0,54.0,107,133.33585858585857
140,705.0,4,5,6,10,10,9,-55.0,55.0,105,134.143216080402
141,710.0,5,6,8,10,10,2,-52.0,52.0,104,134.61097256857855
142,715.0,6,7,10,10,10,5,-52.0,52.0,106,134.41379310344828
143,720.0,0,1,7,10,10,4,-48.0,48.0,103,135.52334152334151
