decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
81,410.0,6,7,1,0,1,0,6,-4.0,4.0,30,81.25308641975309
82,415.0,3,4,1,1,1,1,3,-7.0,7.0,28,81.13414634146342
83,420.0,6,7,1,0,1,2,6,-8.0,8.0,30,81.0421686746988
84,425.0,4,5,0,0,1,2,4,-6.0,6.0,30,80.98214285714286
85,430.0,5,6,1,2,1,0,5,-7.0,7.0,27,81.81547619047619
86,435.0,1,2,2,1,0,1,1,-7.0,7.0,26,82.12426035502959
87,440.0,4,5,0,1,1,2,4,-7.0,7.0,29,80.5919540229885
88,445.0,6,7,2,0,1,2,6,-8.0,8.0,33,80.10734463276836
89,450.0,6,7,2,0,1,2,6,-10.0,10.0,35,79.7
90,455.0,6,7,2,0,1,2,6,-10.0,10.0,36,79.34972677595628
91,460.0,6,7,2,0,1,3,6,-11.0,11.0,34,80.29508196721312
92,465.0,0,1,0,0,1,1,0,-4.0,4.0,35,79.48663101604278
93,470.0,7,8,1,0,1,1,7,-5.0,5.0,33,80.37967914438502
94,475.0,7,8,2,0,0,2,7,-8.0,8.0,34,79.55497382198953
95,480.0,5,6,2,1,1,1,5,-8.0,8.0,36,78.84615384615384
96,485.0,7,8,2,1,1,1,7,-9.0,9.0,38,78.61616161616162
97,490.0,3,4,2,1,2,2,3,-14.0,14.0,44,78.13861386138613
98,495.0,7,8,2,2,0,2,7,-13.0,13.0,42,78.0390243902439
99,500.0,2,3,2,2,1,2,2,-16.0,16.0,44,77.22857142857143
100,505.0,2,3,3,2,2,2,2,-21.0,21.0,44,77.1924882629108
101,510.0,7,8,3,2,1,2,7,-18.0,18.0,45,77.18981481481481
102,515.0,3,4,3,3,2,2,3,-20.0,20.0,46,78.26388888888889
103,520.0,4,5,1,3,2,2,4,-20.0,20.0,47,78.9815668202765
104,525.0,0,1,0,4,3,1,0,-19.0,19.0,45,80.03225806451613
105,530.0,7,8,1,4,2,1,7,-21.0,21.0,45,81.06912442396313
106,535.0,2,3,2,4,2,2,2,-26.0,26.0,45,82.10599078341014
107,540.0,0,1,0,4,3,0,0,-24.0,24.0,43,82.35159817351598
108,545.0,1,2,1,4,2,1,1,-23.0,23.0,43,81.52678571428571
109,550.0,0,1,0,4,2,0,0,-18.0,18.0,46,80.80786026200873
110,555.0,1,2,1,4,2,0,1,-16.0,16.0,44,81.48260869565217
111,560.0,7,8,1,4,0,0,7,-12.0,12.0,48,80.79148936170213
112,565.0,2,3,1,4,1,0,2,-16.0,16.0,54,80.19583333333334
113,570.0,7,8,1,4,0,1,7,-16.0,16.0,53,79.68163265306123
114,575.0,2,3,2,4,1,2,2,-24.0,24.0,56,79.236
115,580.0,5,6,2,4,1,1,5,-24.0,24.0,58,79.48616600790514
116,585.0,2,3,3,4,1,2,2,-30.0,30.0,60,79.76171875
117,590.0,0,1,2,4,1,1,0,-28.0,28.0,61,80.31782945736434
118,595.0,6,7,2,3,1,2,6,-27.0,27.0,63,80.89615384615385
119,600.0,7,8,3,4,0,3,7,-31.0,31.0,65,80.89015151515152
120,605.0,4,5,3,4,0,3,4,-36.0,36.0,66,81.21348314606742
121,610.0,2,3,2,4,0,3,2,-42.0,42.0,66,82.46067415730337
122,615.0,0,1,2,4,0,3,0,-37.0,37.0,66,83.38805970149254
