episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-70.0,-0.4861111111111111,70.0,43.03472222222222,142.62653562653563,0.997
2,-73.0,-0.5069444444444444,73.0,44.65972222222222,149.47420147420146,0.994009
3,-62.0,-0.4305555555555556,62.0,42.43055555555556,141.34643734643734,0.991026973
4,-82.0,-0.5694444444444444,82.0,41.80555555555556,140.13513513513513,0.988053892081
5,-87.0,-0.6041666666666666,87.0,47.68055555555556,152.22604422604422,0.985089730404757
6,-75.0,-0.5208333333333334,75.0,47.625,161.25552825552825,0.9821344612135428
7,-79.0,-0.5486111111111112,79.0,41.86805555555556,145.7051597051597,0.9791880578299021
8,-82.0,-0.5694444444444444,82.0,44.0,144.74447174447175,0.9762504936564125
9,-90.0,-0.625,90.0,50.229166666666664,159.14004914004914,0.9733217421754432
10,-76.0,-0.5277777777777778,76.0,41.388888888888886,140.86732186732186,0.9704017769489168
11,-90.0,-0.625,90.0,45.354166666666664,143.67076167076166,0.9674905716180701
12,-65.0,-0.4513888888888889,65.0,45.520833333333336,154.1007371007371,0.9645880999032158
13,-68.0,-0.4722222222222222,68.0,48.388888888888886,154.002457002457,0.9616943356035061
14,-63.0,-0.4375,63.0,40.861111111111114,148.48894348894348,0.9588092525966956
15,-68.0,-0.4722222222222222,68.0,40.0,136.94594594594594,0.9559328248389055
16,-66.0,-0.4583333333333333,66.0,47.21527777777778,153.1031941031941,0.9530650263643888
17,-64.0,-0.4444444444444444,64.0,44.34027777777778,147.82063882063883,0.9502058312852957
18,-73.0,-0.5069444444444444,73.0,40.28472222222222,137.95085995085995,0.9473552137914398
19,-78.0,-0.5416666666666666,78.0,45.72222222222222,152.57248157248156,0.9445131481500655
20,-75.0,-0.5208333333333334,75.0,37.9375,134.73710073710075,0.9416796087056153
21,-77.0,-0.5347222222222222,77.0,45.020833333333336,149.61916461916462,0.9388545698794984
22,-72.0,-0.5,72.0,47.40277777777778,155.5012285012285,0.93603800616986
23,-73.0,-0.5069444444444444,73.0,39.97222222222222,138.17444717444718,0.9332298921513504
24,-72.0,-0.5,72.0,47.861111111111114,156.86732186732186,0.9304302024748964
25,-86.0,-0.5972222222222222,86.0,51.0,164.62407862407863,0.9276389118674717
26,-69.0,-0.4791666666666667,69.0,43.80555555555556,152.25307125307125,0.9248559951318693
27,-61.0,-0.4236111111111111,61.0,38.88194444444444,139.95823095823096,0.9220814271464737
28,-68.0,-0.4722222222222222,68.0,37.50694444444444,133.5085995085995,0.9193151828650342
29,-76.0,-0.5277777777777778,76.0,42.729166666666664,141.7051597051597,0.9165572373164391
30,-66.0,-0.4583333333333333,66.0,38.145833333333336,138.43243243243242,0.9138075656044898
31,-77.0,-0.5347222222222222,77.0,39.63194444444444,135.85012285012286,0.9110661429076764
32,-66.0,-0.4583333333333333,66.0,41.048611111111114,139.41523341523342,0.9083329444789534
33,-84.0,-0.5833333333333334,84.0,36.86805555555556,131.04914004914005,0.9056079456455165
34,-71.0,-0.4930555555555556,71.0,42.31944444444444,141.1056511056511,0.90289112180858
35,-61.0,-0.4236111111111111,61.0,40.861111111111114,140.63882063882065,0.9001824484431542
36,-63.0,-0.4375,63.0,44.736111111111114,150.94594594594594,0.8974819010978248
37,-76.0,-0.5277777777777778,76.0,41.451388888888886,146.26044226044226,0.8947894553945313
38,-64.0,-0.4444444444444444,64.0,37.77777777777778,133.44471744471744,0.8921050870283477
39,-84.0,-0.5833333333333334,84.0,52.63194444444444,164.13513513513513,0.8894287717672626
40,-58.0,-0.4027777777777778,58.0,40.513888888888886,141.61179361179362,0.8867604854519608
41,-63.0,-0.4375,63.0,41.208333333333336,140.3857493857494,0.884100203995605
42,-85.0,-0.5902777777777778,85.0,44.375,145.95577395577396,0.8814479033836181
43,-64.0,-0.4444444444444444,64.0,43.00694444444444,145.35380835380835,0.8788035596734672
