episode,total_reward,final_waiting,final_avg_travel_time,epsilon
1,-70.0,70.0,142.62653562653563,0.997
2,-73.0,73.0,149.47420147420146,0.994009
3,-60.0,60.0,139.33169533169533,0.991026973
4,-82.0,82.0,140.13513513513513,0.988053892081
5,-82.0,82.0,152.14742014742015,0.985089730404757
6,-75.0,75.0,161.67567567567568,0.9821344612135428
7,-74.0,74.0,145.8992628992629,0.9791880578299021
8,-83.0,83.0,140.30712530712532,0.9762504936564125
9,-87.0,87.0,159.8058968058968,0.9733217421754432
10,-76.0,76.0,140.86732186732186,0.9704017769489168
11,-95.0,95.0,143.84029484029483,0.9674905716180701
12,-63.0,63.0,153.9090909090909,0.9645880999032158
13,-70.0,70.0,153.60933660933662,0.9616943356035061
14,-57.0,57.0,149.7125307125307,0.9588092525966956
15,-68.0,68.0,134.57248157248156,0.9559328248389055
16,-63.0,63.0,153.57985257985257,0.9530650263643888
17,-64.0,64.0,147.94840294840296,0.9502058312852957
18,-73.0,73.0,138.26781326781327,0.9473552137914398
19,-74.0,74.0,152.95331695331694,0.9445131481500655
20,-78.0,78.0,132.35135135135135,0.9416796087056153
21,-77.0,77.0,153.1031941031941,0.9388545698794984
22,-73.0,73.0,156.2997542997543,0.93603800616986
23,-70.0,70.0,138.16953316953317,0.9332298921513504
24,-80.0,80.0,156.87469287469287,0.9304302024748964
25,-88.0,88.0,165.8108108108108,0.9276389118674717
26,-61.0,61.0,150.54299754299754,0.9248559951318693
27,-53.0,53.0,140.15479115479116,0.9220814271464737
28,-74.0,74.0,133.56511056511056,0.9193151828650342
29,-74.0,74.0,140.84520884520884,0.9165572373164391
30,-67.0,67.0,139.0909090909091,0.9138075656044898
31,-79.0,79.0,136.3783783783784,0.9110661429076764
32,-67.0,67.0,134.9164619164619,0.9083329444789534
33,-79.0,79.0,128.997542997543,0.9056079456455165
34,-72.0,72.0,141.1007371007371,0.90289112180858
35,-55.0,55.0,141.96560196560196,0.9001824484431542
36,-59.0,59.0,152.74692874692875,0.8974819010978248
37,-74.0,74.0,150.69287469287468,0.8947894553945313
