reward_variant,mean_total_reward,mean_final_waiting,mean_avg_waiting,mean_avg_travel_time,baseline_mean_total_reward,baseline_mean_final_waiting,baseline_mean_avg_waiting,baseline_mean_avg_travel_time
wait_only,-2918.0,153.0,72.95000000000002,60.98125000000001,-2884.0,151.0,72.09999999999998,60.44583333333335
wait_vehicle,-3503.000000000001,156.0,73.09999999999998,61.02708333333334,-3458.7,151.0,72.09999999999998,60.44583333333335
wait_small_vehicle,-3217.6500000000005,158.0,73.20000000000002,60.97708333333335,-3171.3499999999995,151.0,72.09999999999998,60.44583333333335
delta_wait,-158.0,158.0,72.65000000000002,60.69374999999999,-151.0,151.0,72.09999999999998,60.44583333333335
