episode,total_reward,mean_reward_per_decision,final_waiting,avg_waiting,final_avg_travel_time,epsilon
1,-9469.8,-65.76249999999999,85.0,56.5,184.45530145530145,0.997
2,-9698.699999999997,-67.35208333333334,78.0,57.8125,186.3825363825364,0.994009
3,-9430.2,-65.48750000000001,69.0,56.354166666666664,187.15176715176716,0.991026973
4,-8450.499999999998,-58.68402777777778,72.0,50.18055555555556,173.86070686070687,0.988053892081
5,-7642.699999999998,-53.074305555555554,63.0,44.84722222222222,154.16632016632016,0.985089730404757
6,-9201.300000000001,-63.89791666666666,70.0,54.5,180.35758835758836,0.9821344612135428
7,-9783.699999999999,-67.94236111111111,79.0,58.201388888888886,178.46361746361745,0.9791880578299021
8,-9626.2,-66.84861111111111,108.0,56.97222222222222,172.82744282744284,0.9762504936564125
9,-9046.200000000003,-62.82083333333334,77.0,53.708333333333336,178.2785862785863,0.9733217421754432
10,-9156.800000000005,-63.588888888888896,71.0,54.30555555555556,177.8024948024948,0.9704017769489168
11,-9539.8,-66.2486111111111,62.0,56.53472222222222,176.66735966735968,0.9674905716180701
12,-10336.400000000003,-71.78055555555555,89.0,61.6875,188.79002079002078,0.9645880999032158
13,-9403.9,-65.30486111111111,85.0,55.75694444444444,177.02286902286903,0.9616943356035061
14,-8417.400000000001,-58.454166666666666,72.0,49.486111111111114,167.78794178794178,0.9588092525966956
15,-9459.5,-65.69097222222223,79.0,56.298611111111114,173.7234927234927,0.9559328248389055
16,-9157.299999999997,-63.5923611111111,68.0,54.40972222222222,177.93347193347194,0.9530650263643888
17,-8683.600000000002,-60.30277777777777,77.0,51.15972222222222,168.14553014553016,0.9502058312852957
18,-8428.100000000002,-58.52847222222221,76.0,49.791666666666664,171.05613305613306,0.9473552137914398
19,-8917.4,-61.9263888888889,79.0,52.90972222222222,176.30977130977132,0.9445131481500655
20,-10056.700000000003,-69.83819444444445,100.0,59.861111111111114,182.3804573804574,0.9416796087056153
21,-9142.199999999999,-63.487500000000004,63.0,54.423611111111114,180.97297297297297,0.9388545698794984
22,-9129.300000000003,-63.39791666666666,89.0,54.5,190.35343035343035,0.93603800616986
23,-9027.599999999997,-62.691666666666656,59.0,53.77777777777778,185.65904365904365,0.9332298921513504
24,-8346.300000000001,-57.96041666666666,73.0,49.173611111111114,164.8877338877339,0.9304302024748964
25,-9488.499999999998,-65.89236111111111,74.0,56.44444444444444,175.69230769230768,0.9276389118674717
26,-8583.799999999997,-59.60972222222222,84.0,50.770833333333336,176.1829521829522,0.9248559951318693
27,-8922.099999999999,-61.95902777777778,57.0,53.208333333333336,179.6985446985447,0.9220814271464737
28,-8401.100000000002,-58.34097222222223,86.0,49.46527777777778,162.2952182952183,0.9193151828650342
29,-8992.7,-62.44930555555556,74.0,53.729166666666664,189.57588357588358,0.9165572373164391
30,-8110.100000000003,-56.32013888888889,81.0,47.6875,159.97089397089397,0.9138075656044898
31,-8418.099999999997,-58.45902777777778,62.0,49.916666666666664,177.73388773388774,0.9110661429076764
32,-9125.099999999999,-63.368750000000006,71.0,54.4375,185.68607068607068,0.9083329444789534
33,-9850.1,-68.40347222222222,85.0,58.833333333333336,191.65072765072765,0.9056079456455165
34,-8494.800000000001,-58.991666666666674,63.0,50.4375,175.44490644490645,0.90289112180858
35,-8577.0,-59.5625,88.0,50.40972222222222,165.82328482328484,0.9001824484431542
36,-9191.099999999997,-63.82708333333335,67.0,54.55555555555556,177.33679833679832,0.8974819010978248
37,-8601.899999999998,-59.735416666666666,80.0,50.78472222222222,168.32848232848232,0.8947894553945313
38,-8821.2,-61.25833333333334,84.0,52.1875,165.85862785862787,0.8921050870283477
39,-8327.499999999998,-57.829861111111114,68.0,49.19444444444444,177.30977130977132,0.8894287717672626
40,-8587.400000000003,-59.63472222222222,74.0,50.5625,167.14137214137213,0.8867604854519608
41,-8752.5,-60.78125,82.0,51.791666666666664,182.17255717255716,0.884100203995605
42,-8751.400000000005,-60.77361111111112,70.0,51.74305555555556,176.0914760914761,0.8814479033836181
