decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
80,405.0,6,7,3,4,3,2,6,-69.3,59.0,103,101.51310861423221
81,410.0,6,7,3,3,3,3,6,-72.3,62.0,103,103.09701492537313
82,415.0,1,2,4,4,3,3,1,-72.1,62.0,101,102.76642335766424
83,420.0,2,3,3,4,3,3,2,-73.2,63.0,102,102.49285714285715
84,425.0,7,8,3,4,1,3,7,-68.0,58.0,100,104.05338078291815
85,430.0,0,1,3,4,2,3,0,-62.2,52.0,102,104.17482517482517
86,435.0,0,1,3,4,3,2,0,-57.1,47.0,101,104.6655172413793
87,440.0,3,4,3,4,3,1,3,-57.7,48.0,97,105.4778156996587
88,445.0,1,2,3,4,3,2,1,-55.7,46.0,97,105.92929292929293
89,450.0,2,3,3,4,2,3,2,-61.0,51.0,100,104.68954248366013
90,455.0,1,2,3,4,1,3,1,-62.5,52.0,105,104.94533762057878
91,460.0,3,4,3,3,1,4,3,-64.7,54.0,107,104.89274447949526
92,465.0,1,2,3,4,1,4,1,-66.8,56.0,108,106.16300940438872
93,470.0,1,2,3,4,0,4,1,-71.0,60.0,110,106.44444444444444
94,475.0,4,5,3,4,1,4,4,-68.0,57.0,110,105.81927710843374
95,480.0,1,2,3,4,1,4,1,-65.2,54.0,112,107.45645645645645
96,485.0,1,2,3,4,2,4,1,-66.1,55.0,111,108.11572700296736
97,490.0,1,2,3,3,2,4,1,-61.9,51.0,109,108.7800586510264
98,495.0,7,8,3,3,0,4,7,-60.9,50.0,109,110.06122448979592
99,500.0,3,4,3,3,1,4,3,-63.7,53.0,107,110.69164265129683
100,505.0,1,2,4,3,1,4,1,-64.0,53.0,110,111.01704545454545
101,510.0,5,6,4,3,2,3,5,-60.2,49.0,112,111.08379888268156
102,515.0,5,6,4,4,3,2,5,-68.1,57.0,111,112.66016713091922
103,520.0,7,8,4,4,3,2,7,-70.2,59.0,112,113.56906077348066
104,525.0,1,2,4,4,2,3,1,-71.1,60.0,111,114.76373626373626
105,530.0,2,3,3,4,2,3,2,-76.1,65.0,111,115.3125
106,535.0,1,2,3,4,2,3,1,-77.2,66.0,112,116.13207547169812
107,540.0,7,8,3,4,1,3,7,-80.0,69.0,110,117.2627345844504
108,545.0,0,1,3,4,2,2,0,-79.1,68.0,111,117.12664907651715
109,550.0,4,5,3,4,3,2,4,-78.0,67.0,110,117.95549738219896
110,555.0,0,1,3,4,3,1,0,-75.1,64.0,111,118.46373056994818
111,560.0,2,3,3,4,3,3,2,-80.2,69.0,112,118.41071428571429
112,565.0,7,8,3,4,1,3,7,-76.9,66.0,109,119.56598984771574
113,570.0,0,1,3,4,1,3,0,-70.5,60.0,105,120.68686868686869
114,575.0,0,1,3,4,2,2,0,-72.4,62.0,104,122.37878787878788
115,580.0,4,5,3,4,2,1,4,-69.1,59.0,101,123.73047858942066
116,585.0,7,8,4,4,0,2,7,-73.1,63.0,101,124.14214463840399
117,590.0,0,1,4,4,1,2,0,-71.3,61.0,103,124.87128712871286
118,595.0,4,5,3,4,2,1,4,-68.3,58.0,103,125.89901477832512
119,600.0,7,8,3,4,0,3,7,-71.3,61.0,103,127.21375921375922
120,605.0,0,1,3,4,1,1,0,-69.1,59.0,101,128.18092909535451
121,610.0,3,4,3,4,1,1,3,-69.0,59.0,100,129.13625304136252
122,615.0,3,4,3,4,1,2,3,-66.8,57.0,98,130.0774818401937
123,620.0,2,3,3,4,2,3,2,-74.6,65.0,96,131.00722891566264
124,625.0,1,2,3,4,0,3,1,-74.6,65.0,96,131.2816229116945
125,630.0,0,1,3,4,1,2,0,-71.7,62.0,97,131.27830188679246
126,635.0,1,2,3,4,0,2,1,-70.5,61.0,95,132.50823529411764
127,640.0,7,8,3,4,0,3,7,-75.4,66.0,94,133.39578454332553
128,645.0,0,1,3,4,0,2,0,-72.4,63.0,94,134.8992974238876
129,650.0,3,4,3,4,0,1,3,-67.9,58.0,99,133.63761467889907
