decision_step,time,action,phase_id,state_north_bucket,state_east_bucket,state_south_bucket,state_west_bucket,state_phase_bucket,reward,total_waiting,vehicle_count,avg_travel_time
83,420.0,3,4,0,0,1,1,3,-1.0,2.0,22,65.5
84,425.0,0,1,0,0,1,0,0,1.0,1.0,22,65.375
85,430.0,3,4,1,1,1,0,3,-3.0,4.0,20,65.99404761904762
86,435.0,1,2,2,0,0,0,1,1.0,3.0,21,66.22485207100591
87,440.0,4,5,0,1,0,1,4,1.0,2.0,24,65.01724137931035
88,445.0,5,6,0,1,0,0,5,0.0,2.0,27,64.63276836158192
89,450.0,1,2,1,0,0,0,1,1.0,1.0,30,64.34444444444445
90,455.0,1,2,1,0,0,1,1,-2.0,3.0,30,64.08743169398907
91,460.0,0,1,0,0,0,0,0,3.0,0.0,29,64.88524590163935
92,465.0,1,2,0,0,0,0,1,0.0,0.0,30,64.2620320855615
93,470.0,2,3,0,0,2,0,2,-3.0,3.0,27,65.0
94,475.0,1,2,1,0,1,1,1,-1.0,4.0,28,64.3455497382199
95,480.0,5,6,1,1,2,0,5,-2.0,6.0,30,63.8
96,485.0,1,2,1,0,1,0,1,2.0,4.0,31,63.621212121212125
97,490.0,5,6,1,0,2,0,5,-2.0,6.0,33,63.198019801980195
98,495.0,1,2,1,1,1,0,1,1.0,5.0,34,63.09756097560975
99,500.0,4,5,0,1,1,0,4,2.0,3.0,39,62.48571428571429
100,505.0,1,2,2,1,2,0,1,-4.0,7.0,39,62.544600938967136
101,510.0,0,1,0,1,2,0,0,1.0,6.0,40,62.629629629629626
102,515.0,7,8,1,1,0,0,7,2.0,4.0,39,63.55555555555556
103,520.0,6,7,1,0,2,0,6,-2.0,6.0,38,64.15668202764977
104,525.0,7,8,2,2,0,0,7,0.0,6.0,36,65.00921658986175
105,530.0,6,7,2,0,1,0,6,0.0,6.0,35,65.82949308755761
106,535.0,4,5,0,1,2,0,4,1.0,5.0,32,66.5852534562212
107,540.0,7,8,1,3,0,0,7,-3.0,8.0,32,66.71689497716895
108,545.0,6,7,1,1,1,0,6,3.0,5.0,31,65.97321428571429
109,550.0,1,2,1,0,0,0,1,3.0,2.0,32,65.29257641921397
110,555.0,1,2,1,0,0,0,1,0.0,2.0,30,65.71739130434783
111,560.0,1,2,1,0,0,0,1,0.0,2.0,31,65.0127659574468
112,565.0,1,2,1,0,0,0,1,0.0,2.0,35,64.3625
113,570.0,1,2,1,0,0,1,1,-2.0,4.0,36,63.81224489795918
114,575.0,0,1,0,0,0,0,0,4.0,0.0,38,63.32
115,580.0,1,2,2,0,0,1,1,-5.0,5.0,38,63.37154150197628
116,585.0,4,5,1,0,0,3,4,-3.0,8.0,40,63.4375
117,590.0,0,1,0,0,0,2,0,4.0,4.0,43,63.763565891472865
118,595.0,5,6,1,1,0,1,5,-2.0,6.0,45,64.12307692307692
119,600.0,0,1,0,2,0,1,0,1.0,5.0,49,64.05681818181819
120,605.0,1,2,1,2,0,1,1,-2.0,7.0,47,64.2247191011236
